2024-12-04 15:31:44.302 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.327 сек., синхр.=0.003 сек., всего=0.334 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=8 kB, ожидалось=15 kB; lsn=0/20F29B0, lsn redo=0/20F2978
2024-12-04 15:41:43.318 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-04 15:41:43.654 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.328 сек., синхр.=0.003 сек., всего=0.336 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=9 kB, ожидалось=15 kB; lsn=0/20F5070, lsn redo=0/20F5038
2024-12-04 15:46:43.657 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-04 15:46:43.994 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.329 сек., синхр.=0.003 сек., всего=0.337 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=9 kB, ожидалось=14 kB; lsn=0/20F7690, lsn redo=0/20F7658
2024-12-04 15:51:44.008 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-04 15:51:44.341 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.326 сек., синхр.=0.003 сек., всего=0.334 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=9 kB, ожидалось=14 kB; lsn=0/20F9D60, lsn redo=0/20F9D28
2024-12-04 16:01:44.354 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-04 16:01:44.689 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.327 сек., синхр.=0.003 сек., всего=0.336 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=9 kB, ожидалось=13 kB; lsn=0/20FC4F8, lsn redo=0/20FC4C0
2024-12-04 16:02:35.769 MSK [25008] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-12-04 16:02:35.769 MSK [16440] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-12-04 16:02:35.770 MSK [2728] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-12-04 16:06:44.699 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-04 16:06:45.029 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.323 сек., синхр.=0.003 сек., всего=0.331 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=10 kB, ожидалось=13 kB; lsn=0/20FED28, lsn redo=0/20FECF0
2024-12-04 16:10:27.921 MSK [42304] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-12-04 16:10:27.922 MSK [11036] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
